hsa-let-7g,"Carcinoma, Hepatocellular",-1,1
hsa-let-7g,Lung Neoplasms,-1,1
hsa-let-7g,"Carcinoma, Non-Small-Cell Lung",-1,1
hsa-let-7g,Ovarian Neoplasms,-1,1
hsa-let-7g,Colorectal Neoplasms,1,1
hsa-let-7g,Squamous Cell Carcinoma of Head and Neck,1,1
hsa-let-7g,"Carcinoma, Hepatocellular",-1,1
hsa-let-7g,Melanoma,-1,1
hsa-let-7g,Squamous Cell Carcinoma of Head and Neck,-1,1
hsa-let-7g,Prostatic Neoplasms,-1,1
hsa-let-7g,Prostatic Neoplasms,1,1
hsa-let-7i,Alzheimer Disease,-1,1
hsa-let-7i,Breast Neoplasms,1,1
hsa-let-7i,Squamous Cell Carcinoma of Head and Neck,1,1
hsa-mir-1,Cardiomegaly,-1,1
hsa-mir-1,Cardiomegaly,-1,1
hsa-mir-203,Adenocarcinoma,1,1
hsa-mir-203,Leiomyoma,-1,1
hsa-mir-204,"Leukemia, Myeloid, Acute",-1,1
hsa-mir-204,Breast Neoplasms,-1,1
hsa-mir-204,Insulinoma,1,1
hsa-let-7d,"Leukemia, Promyelocytic, Acute",1,1
hsa-mir-635,Ovarian Neoplasms,-1,1
hsa-mir-10a,"Lymphoma, Large B-Cell, Diffuse",-1,1
hsa-mir-184,"Leukemia, Myeloid, Acute",-1,1
hsa-mir-19a,"Carcinoma, Hepatocellular",-1,1
hsa-mir-24,Prostatic Neoplasms,1,1
hsa-mir-302c,"Carcinoma, Ovarian Epithelial",-1,1
hsa-mir-30d,Squamous Cell Carcinoma of Head and Neck,-1,1
hsa-mir-150,Lung Neoplasms,1,1
hsa-mir-146a,Lung Neoplasms,1,1
hsa-mir-146a,Squamous Cell Carcinoma of Head and Neck,1,1
hsa-mir-146a,Pancreatic Neoplasms,1,1
hsa-mir-146a,Pancreatic Neoplasms,1,1
hsa-mir-146a,Prostatic Neoplasms,1,1
hsa-mir-146a,Psoriasis,1,1
hsa-let-7d,Lung Neoplasms,-1,1
hsa-let-7d,Ovarian Neoplasms,-1,1
hsa-let-7d,Breast Neoplasms,-1,1
hsa-let-7d,"Carcinoma, Ovarian Epithelial",-1,1
hsa-let-7d,"Carcinoma, Ovarian Epithelial",-1,1
hsa-let-7d,"Carcinoma, Hepatocellular",-1,1
hsa-let-7d,Melanoma,-1,1
hsa-let-7d,Squamous Cell Carcinoma of Head and Neck,-1,1
hsa-let-7d,Pancreatic Neoplasms,1,1
hsa-let-7d,Prostatic Neoplasms,-1,1
hsa-let-7e,Lung Neoplasms,-1,1
hsa-let-7e,Precursor Cell Lymphoblastic Leukemia-Lymphoma,-1,1
hsa-let-7e,"Leukemia, Myeloid, Acute",1,1
hsa-let-7e,"Leukemia, Myeloid, Acute",1,1
hsa-let-7e,"Lymphoma, Large B-Cell, Diffuse",-1,1
hsa-let-7e,Squamous Cell Carcinoma of Head and Neck,1,1
hsa-let-7e,"Carcinoma, Hepatocellular",-1,1
hsa-let-7e,Melanoma,-1,1
hsa-let-7e,Squamous Cell Carcinoma of Head and Neck,-1,1
hsa-let-7e,Ovarian Neoplasms,-1,1
hsa-let-7e,Pituitary Neoplasms,-1,1
hsa-let-7e,Psoriasis,-1,1
hsa-let-7f,Lung Neoplasms,-1,1
hsa-mir-125b,"Thyroid Carcinoma, Anaplastic",-1,1
hsa-mir-125b,Breast Neoplasms,-1,1
hsa-mir-125b,Breast Neoplasms,-1,1
hsa-mir-125b,Prostatic Neoplasms,-1,1
hsa-mir-125b,Prostatic Neoplasms,1,1
hsa-mir-125b,Alzheimer Disease,1,1
hsa-mir-125b,Cardiomegaly,1,1
hsa-mir-125b,Heart Failure,1,1
hsa-mir-150,Adenocarcinoma,1,1
hsa-mir-150,Polycythemia Vera,-1,1
hsa-mir-150,"Liver Cirrhosis, Biliary",-1,1
hsa-mir-150,Leiomyoma,-1,1
hsa-mir-152,Asthma,normal,1
hsa-mir-152,Breast Neoplasms,-1,1
hsa-mir-152,Breast Neoplasms,-1,1
hsa-mir-152,"Carcinoma, Ovarian Epithelial",-1,1
hsa-mir-153,"Leukemia, Lymphocytic, Chronic, B-Cell",1,1
hsa-mir-133b,Parkinson Disease,-1,1
hsa-mir-133b,"Carcinoma, Squamous Cell",-1,1
hsa-mir-133b,Colorectal Neoplasms,-1,1
hsa-mir-133b,Glioblastoma,-1,1
hsa-mir-133b,Squamous Cell Carcinoma of Head and Neck,-1,1
hsa-mir-133b,"Liver Cirrhosis, Biliary",-1,1
hsa-mir-133b,Psoriasis,-1,1
hsa-mir-133b,Testicular Neoplasms,1,1
hsa-mir-134,"Leukemia, Promyelocytic, Acute",-1,1
hsa-mir-134,"Leukemia, Lymphocytic, Chronic, B-Cell",1,1
hsa-mir-134,"Muscular Dystrophy, Duchenne",1,1
hsa-mir-134,"Carcinoma, Ovarian Epithelial",-1,1
hsa-mir-134,"Muscular Dystrophies, Limb-Girdle",1,1
hsa-mir-134,"Myopathies, Nemaline",1,1
hsa-mir-134,Ovarian Neoplasms,-1,1
hsa-mir-136,Breast Neoplasms,1,1
hsa-mir-136,"Carcinoma, Hepatocellular",-1,1
hsa-mir-9,Hodgkin Disease,1,1
hsa-mir-31,Melanoma,-1,1
hsa-mir-31,Adenocarcinoma,1,1
hsa-mir-369-5p,Dermatomyositis,1,1
hsa-mir-369-5p,"Muscular Dystrophy, Duchenne",1,1
hsa-mir-369-5p,"Muscular Dystrophy, Facioscapulohumeral",1,1
hsa-mir-369-5p,"Myopathies, Nemaline",1,1
hsa-mir-370,Cholangiocarcinoma,-1,1
hsa-mir-370,Squamous Cell Carcinoma of Head and Neck,-1,1
hsa-mir-370,Prostatic Neoplasms,1,1
hsa-mir-372,"Carcinoma, Non-Small-Cell Lung",1,1
hsa-mir-372,Testicular Neoplasms,1,1
hsa-mir-372,"Leukemia, Myeloid, Acute",-1,1
hsa-mir-372,Squamous Cell Carcinoma of Head and Neck,-1,1
hsa-mir-372,Testicular Neoplasms,1,1
hsa-mir-373,Breast Neoplasms,1,1
hsa-mir-373,Testicular Neoplasms,1,1
hsa-mir-182,Prostatic Neoplasms,1,1
hsa-mir-183,Lung Neoplasms,1,1
hsa-mir-183,Prostatic Neoplasms,1,1
hsa-mir-184,Prostatic Neoplasms,-1,1
hsa-mir-206,Rhabdomyosarcoma,-1,1
hsa-mir-206,Rhabdomyosarcoma,-1,1
hsa-mir-20a,Kidney Neoplasms,1,1
hsa-mir-20a,Lung Neoplasms,1,1
hsa-mir-20b,Kidney Neoplasms,1,1
hsa-mir-214,Kidney Neoplasms,-1,1
hsa-mir-218,Lung Neoplasms,-1,1
hsa-mir-22,Lung Neoplasms,-1,1
hsa-mir-221,Prostatic Neoplasms,-1,1
hsa-mir-221,"Carcinoma, Hepatocellular",1,1
hsa-mir-221,Prostatic Neoplasms,-1,1
